2026-03-09 14:03:04,428 | INFO | src.services.auth_service | Registration attempt phone=9876543210
2026-03-09 14:03:04,571 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-03-09 14:03:04,572 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:03:04,576 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-03-09 14:03:04,576 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:03:04,579 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-03-09 14:03:04,580 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:03:04,582 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-03-09 14:03:04,586 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-03-09 14:04:48,119 | INFO | src.services.auth_service | Registration attempt phone=9876543210
2026-03-09 14:04:48,122 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-03-09 14:04:48,123 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-03-09 14:12:02,059 | INFO | src.services.auth_service | Registration attempt phone=9876543210
2026-03-09 14:12:02,172 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-03-09 14:12:02,173 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:12:02,176 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-03-09 14:12:02,177 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:12:02,178 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-03-09 14:12:02,179 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:12:02,181 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-03-09 14:12:02,183 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-03-09 14:14:17,846 | INFO | src.services.auth_service | Registration attempt phone=9876543210
2026-03-09 14:14:17,950 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-03-09 14:14:17,951 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:14:17,954 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-03-09 14:14:17,955 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:14:17,957 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-03-09 14:14:17,958 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-03-09 14:14:17,960 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-03-09 14:14:17,963 | INFO | sqlalchemy.engine.Engine | ROLLBACK
